country,vaccines,total_vaccinations
Jordan,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",9727982.0
Nicaragua,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",9611936.0
Zimbabwe,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",9039729.0
Serbia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",8494958.0
Paraguay,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",8428214.0
Uruguay,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",8027751.0
Panama,"Oxford/AstraZeneca, Pfizer/BioNTech",7889044.0
Kuwait,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",7814545.0
Turkmenistan,"EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001",7580976.0
Slovakia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",7052526.0
Oman,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",6986946.0
Wales,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6927437.0
Qatar,"Moderna, Pfizer/BioNTech",6607185.0
Sudan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",6131070.0
Guinea,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",5952680.0
Afghanistan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",5751015.0
Mongolia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",5478794.0
Lebanon,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",5276097.0
Croatia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5224151.0
Tanzania,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",5031070.0
Lithuania,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",4465769.0
Bulgaria,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4348404.0
Northern Ireland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3754751.0
Palestine,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",3694897.0
Bahrain,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",3421273.0
Libya,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",3415834.0
Zambia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",3402612.0
Syria,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",3369196.0
Benin,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",3333450.0
Slovenia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2977006.0
Kyrgyzstan,"Sinopharm/Beijing, Sputnik V",2902889.0
Latvia,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",2874324.0
Georgia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2857215.0
Togo,Oxford/AstraZeneca,2757575.0
Albania,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2754244.0
Niger,"Oxford/AstraZeneca, Sinopharm/Beijing",2681673.0
Mauritania,"Oxford/AstraZeneca, Sinopharm/Beijing",2650797.0
Botswana,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2517260.0
Senegal,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2496373.0
Mauritius,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2494317.0
Somalia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2395219.0
Burkina Faso,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2369487.0
Sierra Leone,"Oxford/AstraZeneca, Sinopharm/Beijing",2134324.0
Moldova,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2123778.0
Armenia,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2088962.0
Malawi,"Johnson&Johnson, Oxford/AstraZeneca",1993981.0
Estonia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1971557.0
Bosnia and Herzegovina,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",1924950.0
Mali,Oxford/AstraZeneca,1873615.0
North Macedonia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",1836421.0
Kosovo,"Oxford/AstraZeneca, Pfizer/BioNTech",1821917.0
Bhutan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1787937.0
Cyprus,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1773485.0
Cameroon,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1558668.0
Trinidad and Tobago,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1543684.0
Jamaica,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1393819.0
Fiji,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1308235.0
Madagascar,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",1306962.0
Timor,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",1297126.0
